文件路径,识别结果,位置,置信度,用时
Camera: 0,暴力倾向,"[257, 7, 563, 479]",0.34233370423316956,0.01799750328063965
Camera: 0,暴力倾向,"[257, 13, 563, 479]",0.3018949031829834,0.01799631118774414
Camera: 0,暴力倾向,"[257, 13, 563, 479]",0.30185219645500183,0.018012046813964844
Camera: 0,暴力倾向,"[257, 13, 563, 479]",0.30211806297302246,0.01799941062927246
Camera: 0,暴力倾向,"[257, 21, 567, 480]",0.3845984637737274,0.017019987106323242
Camera: 0,暴力倾向,"[257, 21, 567, 480]",0.3844401240348816,0.018000125885009766
Camera: 0,暴力倾向,"[257, 21, 567, 480]",0.38404491543769836,0.01999521255493164
Camera: 0,暴力倾向,"[257, 21, 567, 480]",0.3871139585971832,0.019001007080078125
Camera: 0,暴力倾向,"[257, 21, 567, 480]",0.3817759156227112,0.014999866485595703
Camera: 0,暴力倾向,"[257, 14, 563, 478]",0.41950851678848267,0.01900196075439453
